,PRODUTC,VALUE,DATETIME,DW_A_NUMBER_INT,DW_B_NUMBER_INT,CELL_ID,SITE_ID,PRODUCT,DATE_TIME,DW_A_NUMBER,DW_B_NUMBER,CELLID,SIET_ID
0,Voice,0,2012-05-06 23:04:37.0,49fae048b547780,1a49f8b0ded9de6,/TJNe+Mmtu,/TJNe+Mmtu,,,,,,
1,sms,0,2012-05-06 23:05:25.0,7a54a6eaee19e65,93343ba6e41af95,/+cKZKIp41,/+cKZKIp41,,,,,,
2,sms,25,2012-05-06 23:05:41.0,6008887b0207d82,7aacc9709ce0a20,/u0FSD+ahi,/u0FSD+ahi,,,,,,
3,Voice,56,2012-05-06 23:05:42.0,7370032e20f4e96,6af4a60e74c91d3,+cNeJzsTp3,+cNeJzsTp3,,,,,,
4,Voice,14,2012-05-06 23:06:29.0,966ba4656e38e62,02aa736ee555d5c,051KhYDCpv,051KhYDCpv,,,,,,
5,data,0,2012-05-06 23:07:26.0,f71825ca6e623f9,5a4dc9e82deb309,/lrUXVGVcN,/lrUXVGVcN,,,,,,
6,Voice,0,2012-05-06 23:08:02.0,4afd7d5af21b1ce,67bf1ac30e58e2f,+38u2u/rfx,+38u2u/rfx,,,,,,
7,Voice,0,2012-05-06 23:08:03.0,d717dee81c51389,adde5afd9a67b10,09UjmmY1Ds,09UjmmY1Ds,,,,,,
8,Voice,0,2012-05-06 23:08:05.0,44522aefdc918a6,19e68e80103885e,0DeimCpZOc,0DeimCpZOc,,,,,,
9,sms,0,2012-05-06 23:08:43.0,0763a571d24db64,f773694c00c74d2,01MDiY5F89,01MDiY5F89,,,,,,
10,sms,0,2012-05-06 23:08:50.0,93105314189e879,d79384629278326,0Fmr/IZtQ+,0Fmr/IZtQ+,,,,,,
11,sms,0,2012-05-06 23:09:12.0,a53686548a74582,d164ed0a0cf2360,0MZBLLzPYZ,0MZBLLzPYZ,,,,,,
12,sms,0,2012-05-06 23:09:13.0,9938d2d3c72399e,ff0c464449d36fb,0//cZOoEXj,0//cZOoEXj,,,,,,
13,sms,25,2012-05-06 23:09:16.0,225a414d7f66444,4ee1446e20cbc0b,2dmu2Iy1CX,2dmu2Iy1CX,,,,,,
14,Voice,0,2012-05-06 23:09:26.0,d5b3ec1778ad8c0,cc36f4260f66fee,0Fmr/IZtQ+,0Fmr/IZtQ+,,,,,,
15,Voice,0,2012-05-06 23:09:51.0,c34ef4252d76415,73e1048bfe78617,176sGHv7Ym,176sGHv7Ym,,,,,,
16,Voice,44,2012-05-06 23:09:54.0,e708c33795563f1,8f9487c2e6f468e,++ctND+jGD,++ctND+jGD,,,,,,
17,Voice,0,2012-05-06 23:09:59.0,00dcbcd23dc675c,23a453f5189cc79,1JODMow6DN,1JODMow6DN,,,,,,
18,sms,0,2012-05-06 23:10:05.0,8ab8b9ed6989f61,e09e736e46c5c3d,2PbwFG2K9y,2PbwFG2K9y,,,,,,
19,Voice,14,2012-05-06 23:10:23.0,dad978f7b8a9a09,28a6bcdc24a8b38,2GgIN622rt,2GgIN622rt,,,,,,
20,data,0,2012-05-06 23:10:30.0,057c5fb59d8f14f,5a4dc9e82deb309,/vLAMOS+Qm,/vLAMOS+Qm,,,,,,
21,sms,0,2012-05-06 23:10:41.0,c5a7d9300397229,55742f0b8e5b08d,2dmu2Iy1CX,2dmu2Iy1CX,,,,,,
22,sms,50,2012-05-06 23:11:14.0,8ac7935e68f6ab3,a9e781764b4728a,2FzOAUm82C,2FzOAUm82C,,,,,,
23,data,0,2012-05-06 23:11:27.0,795c2a90bd8d442,5a4dc9e82deb309,2yuhUrSXQu,2yuhUrSXQu,,,,,,
24,Voice,0,2012-05-06 23:11:27.0,1a2b54695968d46,55ad144fa74fddc,3mQAiRAfo7,3mQAiRAfo7,,,,,,
25,data,0,2012-05-06 23:12:07.0,0471428956c85d0,5a4dc9e82deb309,2FzOAUm82C,2FzOAUm82C,,,,,,
26,Voice,0,2012-05-06 23:12:10.0,12c6cf3d45dc493,8f6917492bd38a0,+gySf02tKW,+gySf02tKW,,,,,,
27,Voice,19,2012-05-06 23:12:25.0,b0ffeee6fe3c759,3f830c98519c5e9,/EkqCbWDau,/EkqCbWDau,,,,,,
28,sms,25,2012-05-06 23:12:25.0,21939efec26bf4e,ba7e17ea91737fa,/kxqxDGV0Z,/kxqxDGV0Z,,,,,,
29,sms,0,2012-05-06 23:12:36.0,1e9789aacb2b6dd,93343ba6e41af95,4K++Px614U,4K++Px614U,,,,,,
30,Voice,192,2012-05-06 23:12:43.0,03dd5e41773fcf1,baef1e51b1c085e,1AX75JmPtt,1AX75JmPtt,,,,,,
